word,firstLetter,secondLetter,thirdLetter,fourthLetter,fifthLetter,top5FirstLetter,top5SecondLetter,top5ThirdLetter,top5FourthLetter,top5FifthLetter,numberOfTop5Letters
DOLCI,D,O,L,C,I,0,1,0,0,0,1
DOLED,D,O,L,E,D,0,1,0,1,1,3
DOLEE,D,O,L,E,E,0,1,0,1,1,3
DOLES,D,O,L,E,S,0,1,0,1,1,3
DOLEY,D,O,L,E,Y,0,1,0,1,1,3
DOLIA,D,O,L,I,A,0,1,0,1,1,3
DOLIE,D,O,L,I,E,0,1,0,1,1,3
DOLLS,D,O,L,L,S,0,1,0,0,1,2
DOLMA,D,O,L,M,A,0,1,0,0,1,2
DOLOR,D,O,L,O,R,0,1,0,0,0,1
DOLOS,D,O,L,O,S,0,1,0,0,1,2
DOLTS,D,O,L,T,S,0,1,0,1,1,3
DOMAL,D,O,M,A,L,0,1,0,1,0,2
DOMED,D,O,M,E,D,0,1,0,1,1,3
DOMES,D,O,M,E,S,0,1,0,1,1,3
DOMIC,D,O,M,I,C,0,1,0,1,0,2
DONAH,D,O,N,A,H,0,1,1,1,0,3
DONAS,D,O,N,A,S,0,1,1,1,1,4
DONEE,D,O,N,E,E,0,1,1,1,1,4
DONER,D,O,N,E,R,0,1,1,1,0,3
DONGA,D,O,N,G,A,0,1,1,0,1,3
DONGS,D,O,N,G,S,0,1,1,0,1,3
DONKO,D,O,N,K,O,0,1,1,0,0,2
DONNA,D,O,N,N,A,0,1,1,1,1,4
DONNE,D,O,N,N,E,0,1,1,1,1,4
DONNY,D,O,N,N,Y,0,1,1,1,1,4
DONSY,D,O,N,S,Y,0,1,1,0,1,3
DOOBS,D,O,O,B,S,0,1,1,0,1,3
DOOCE,D,O,O,C,E,0,1,1,0,1,3
DOODY,D,O,O,D,Y,0,1,1,0,1,3
DOOFS,D,O,O,F,S,0,1,1,0,1,3
DOOKS,D,O,O,K,S,0,1,1,0,1,3
DOOKY,D,O,O,K,Y,0,1,1,0,1,3
DOOLE,D,O,O,L,E,0,1,1,0,1,3
DOOLS,D,O,O,L,S,0,1,1,0,1,3
DOOLY,D,O,O,L,Y,0,1,1,0,1,3
DOOMS,D,O,O,M,S,0,1,1,0,1,3
DOOMY,D,O,O,M,Y,0,1,1,0,1,3
DOONA,D,O,O,N,A,0,1,1,1,1,4
DOORN,D,O,O,R,N,0,1,1,0,0,2
DOORS,D,O,O,R,S,0,1,1,0,1,3
DOOZY,D,O,O,Z,Y,0,1,1,0,1,3
DOPAS,D,O,P,A,S,0,1,0,1,1,3
DOPED,D,O,P,E,D,0,1,0,1,1,3
DOPER,D,O,P,E,R,0,1,0,1,0,2
DOPES,D,O,P,E,S,0,1,0,1,1,3
DOPPE,D,O,P,P,E,0,1,0,0,1,2
DORAD,D,O,R,A,D,0,1,1,1,1,4
DORBA,D,O,R,B,A,0,1,1,0,1,3
DORBS,D,O,R,B,S,0,1,1,0,1,3
DOREE,D,O,R,E,E,0,1,1,1,1,4
DORES,D,O,R,E,S,0,1,1,1,1,4
DORIC,D,O,R,I,C,0,1,1,1,0,3
DORIS,D,O,R,I,S,0,1,1,1,1,4
DORJE,D,O,R,J,E,0,1,1,0,1,3
DORKS,D,O,R,K,S,0,1,1,0,1,3
DORKY,D,O,R,K,Y,0,1,1,0,1,3
DORMS,D,O,R,M,S,0,1,1,0,1,3
DORMY,D,O,R,M,Y,0,1,1,0,1,3
DORPS,D,O,R,P,S,0,1,1,0,1,3
DORRS,D,O,R,R,S,0,1,1,0,1,3
DORSA,D,O,R,S,A,0,1,1,0,1,3
DORSE,D,O,R,S,E,0,1,1,0,1,3
DORTS,D,O,R,T,S,0,1,1,1,1,4
DORTY,D,O,R,T,Y,0,1,1,1,1,4
DOSAI,D,O,S,A,I,0,1,0,1,0,2
DOSAS,D,O,S,A,S,0,1,0,1,1,3
DOSED,D,O,S,E,D,0,1,0,1,1,3
DOSEH,D,O,S,E,H,0,1,0,1,0,2
DOSER,D,O,S,E,R,0,1,0,1,0,2
DOSES,D,O,S,E,S,0,1,0,1,1,3
DOSHA,D,O,S,H,A,0,1,0,0,1,2
DOTAL,D,O,T,A,L,0,1,0,1,0,2
DOTED,D,O,T,E,D,0,1,0,1,1,3
DOTER,D,O,T,E,R,0,1,0,1,0,2
DOTES,D,O,T,E,S,0,1,0,1,1,3
DOTTY,D,O,T,T,Y,0,1,0,1,1,3
DOUAR,D,O,U,A,R,0,1,0,1,0,2
DOUCE,D,O,U,C,E,0,1,0,0,1,2
DOUCS,D,O,U,C,S,0,1,0,0,1,2
DOUKS,D,O,U,K,S,0,1,0,0,1,2
DOULA,D,O,U,L,A,0,1,0,0,1,2
DOUMA,D,O,U,M,A,0,1,0,0,1,2
DOUMS,D,O,U,M,S,0,1,0,0,1,2
DOUPS,D,O,U,P,S,0,1,0,0,1,2
DOURA,D,O,U,R,A,0,1,0,0,1,2
DOUSE,D,O,U,S,E,0,1,0,0,1,2
DOUTS,D,O,U,T,S,0,1,0,1,1,3
DOVED,D,O,V,E,D,0,1,0,1,1,3
DOVEN,D,O,V,E,N,0,1,0,1,0,2
DOVER,D,O,V,E,R,0,1,0,1,0,2
DOVES,D,O,V,E,S,0,1,0,1,1,3
DOVIE,D,O,V,I,E,0,1,0,1,1,3
DOWAK,D,O,W,A,K,0,1,0,1,0,2
DOWAR,D,O,W,A,R,0,1,0,1,0,2
DOWDS,D,O,W,D,S,0,1,0,0,1,2
DOWED,D,O,W,E,D,0,1,0,1,1,3
DOWER,D,O,W,E,R,0,1,0,1,0,2
DOWFS,D,O,W,F,S,0,1,0,0,1,2
DOWIE,D,O,W,I,E,0,1,0,1,1,3
DOWLE,D,O,W,L,E,0,1,0,0,1,2
DOWLS,D,O,W,L,S,0,1,0,0,1,2
DOWLY,D,O,W,L,Y,0,1,0,0,1,2
DOWNA,D,O,W,N,A,0,1,0,1,1,3
DOWNS,D,O,W,N,S,0,1,0,1,1,3
DOWPS,D,O,W,P,S,0,1,0,0,1,2
DOWSE,D,O,W,S,E,0,1,0,0,1,2
DOWTS,D,O,W,T,S,0,1,0,1,1,3
DOXED,D,O,X,E,D,0,1,0,1,1,3
DOXES,D,O,X,E,S,0,1,0,1,1,3
DOXIE,D,O,X,I,E,0,1,0,1,1,3
DOYEN,D,O,Y,E,N,0,1,0,1,0,2
DOYLY,D,O,Y,L,Y,0,1,0,0,1,2
DOZED,D,O,Z,E,D,0,1,0,1,1,3
DOZER,D,O,Z,E,R,0,1,0,1,0,2
DOZES,D,O,Z,E,S,0,1,0,1,1,3
DRABS,D,R,A,B,S,0,0,1,0,1,2
DRACK,D,R,A,C,K,0,0,1,0,0,1
DRACO,D,R,A,C,O,0,0,1,0,0,1
DRAFF,D,R,A,F,F,0,0,1,0,0,1
DRAGS,D,R,A,G,S,0,0,1,0,1,2
DRAIL,D,R,A,I,L,0,0,1,1,0,2
DRAMS,D,R,A,M,S,0,0,1,0,1,2
DRANT,D,R,A,N,T,0,0,1,1,0,2
DRAPS,D,R,A,P,S,0,0,1,0,1,2
DRAPY,D,R,A,P,Y,0,0,1,0,1,2
DRATS,D,R,A,T,S,0,0,1,1,1,3
DRAVE,D,R,A,V,E,0,0,1,0,1,2
DRAWS,D,R,A,W,S,0,0,1,0,1,2
DRAYS,D,R,A,Y,S,0,0,1,0,1,2
DREAR,D,R,E,A,R,0,0,0,1,0,1
DRECK,D,R,E,C,K,0,0,0,0,0,0
DREED,D,R,E,E,D,0,0,0,1,1,2
DREER,D,R,E,E,R,0,0,0,1,0,1
DREES,D,R,E,E,S,0,0,0,1,1,2
DREGS,D,R,E,G,S,0,0,0,0,1,1
DREKS,D,R,E,K,S,0,0,0,0,1,1
DRENT,D,R,E,N,T,0,0,0,1,0,1
DRERE,D,R,E,R,E,0,0,0,0,1,1
DREST,D,R,E,S,T,0,0,0,0,0,0
DREYS,D,R,E,Y,S,0,0,0,0,1,1
DRIBS,D,R,I,B,S,0,0,1,0,1,2
DRICE,D,R,I,C,E,0,0,1,0,1,2
DRIES,D,R,I,E,S,0,0,1,1,1,3
DRILY,D,R,I,L,Y,0,0,1,0,1,2
DRIPS,D,R,I,P,S,0,0,1,0,1,2
DRIPT,D,R,I,P,T,0,0,1,0,0,1
DROCK,D,R,O,C,K,0,0,1,0,0,1
DROID,D,R,O,I,D,0,0,1,1,1,3
DROIL,D,R,O,I,L,0,0,1,1,0,2
DROKE,D,R,O,K,E,0,0,1,0,1,2
DROLE,D,R,O,L,E,0,0,1,0,1,2
DROME,D,R,O,M,E,0,0,1,0,1,2
DRONY,D,R,O,N,Y,0,0,1,1,1,3
DROOB,D,R,O,O,B,0,0,1,0,0,1
DROOG,D,R,O,O,G,0,0,1,0,0,1
DROOK,D,R,O,O,K,0,0,1,0,0,1
DROPS,D,R,O,P,S,0,0,1,0,1,2
DROPT,D,R,O,P,T,0,0,1,0,0,1
DROUK,D,R,O,U,K,0,0,1,0,0,1
DROWS,D,R,O,W,S,0,0,1,0,1,2
DRUBS,D,R,U,B,S,0,0,0,0,1,1
DRUGS,D,R,U,G,S,0,0,0,0,1,1
DRUMS,D,R,U,M,S,0,0,0,0,1,1
DRUPE,D,R,U,P,E,0,0,0,0,1,1
DRUSE,D,R,U,S,E,0,0,0,0,1,1
DRUSY,D,R,U,S,Y,0,0,0,0,1,1
DRUXY,D,R,U,X,Y,0,0,0,0,1,1
DRYAD,D,R,Y,A,D,0,0,0,1,1,2
DRYAS,D,R,Y,A,S,0,0,0,1,1,2
DSOBO,D,S,O,B,O,0,0,1,0,0,1
DSOMO,D,S,O,M,O,0,0,1,0,0,1
DUADS,D,U,A,D,S,0,1,1,0,1,3
DUALS,D,U,A,L,S,0,1,1,0,1,3
DUANS,D,U,A,N,S,0,1,1,1,1,4
DUARS,D,U,A,R,S,0,1,1,0,1,3
DUBBO,D,U,B,B,O,0,1,0,0,0,1
DUBBY,D,U,B,B,Y,0,1,0,0,1,2
DUCAL,D,U,C,A,L,0,1,0,1,0,2
DUCAT,D,U,C,A,T,0,1,0,1,0,2
DUCES,D,U,C,E,S,0,1,0,1,1,3
DUCKS,D,U,C,K,S,0,1,0,0,1,2
DUCKY,D,U,C,K,Y,0,1,0,0,1,2
DUCTI,D,U,C,T,I,0,1,0,1,0,2
DUCTS,D,U,C,T,S,0,1,0,1,1,3
DUDDY,D,U,D,D,Y,0,1,0,0,1,2
DUDED,D,U,D,E,D,0,1,0,1,1,3
DUDES,D,U,D,E,S,0,1,0,1,1,3
DUELS,D,U,E,L,S,0,1,0,0,1,2
DUETS,D,U,E,T,S,0,1,0,1,1,3
DUETT,D,U,E,T,T,0,1,0,1,0,2
DUFFS,D,U,F,F,S,0,1,0,0,1,2
DUFUS,D,U,F,U,S,0,1,0,0,1,2
DUING,D,U,I,N,G,0,1,1,1,0,3
DUITS,D,U,I,T,S,0,1,1,1,1,4
DUKAS,D,U,K,A,S,0,1,0,1,1,3
DUKED,D,U,K,E,D,0,1,0,1,1,3
DUKES,D,U,K,E,S,0,1,0,1,1,3
DUKKA,D,U,K,K,A,0,1,0,0,1,2
DUKUN,D,U,K,U,N,0,1,0,0,0,1
DULCE,D,U,L,C,E,0,1,0,0,1,2
DULES,D,U,L,E,S,0,1,0,1,1,3
DULIA,D,U,L,I,A,0,1,0,1,1,3
DULLS,D,U,L,L,S,0,1,0,0,1,2
DULSE,D,U,L,S,E,0,1,0,0,1,2
DUMAS,D,U,M,A,S,0,1,0,1,1,3
DUMBO,D,U,M,B,O,0,1,0,0,0,1
DUMBS,D,U,M,B,S,0,1,0,0,1,2
DUMKA,D,U,M,K,A,0,1,0,0,1,2
DUMKY,D,U,M,K,Y,0,1,0,0,1,2
DUMPS,D,U,M,P,S,0,1,0,0,1,2
DUNAM,D,U,N,A,M,0,1,1,1,0,3
DUNCH,D,U,N,C,H,0,1,1,0,0,2
DUNES,D,U,N,E,S,0,1,1,1,1,4
DUNGS,D,U,N,G,S,0,1,1,0,1,3
DUNGY,D,U,N,G,Y,0,1,1,0,1,3
DUNKS,D,U,N,K,S,0,1,1,0,1,3
DUNNO,D,U,N,N,O,0,1,1,1,0,3
DUNNY,D,U,N,N,Y,0,1,1,1,1,4
DUNSH,D,U,N,S,H,0,1,1,0,0,2
DUNTS,D,U,N,T,S,0,1,1,1,1,4
DUOMI,D,U,O,M,I,0,1,1,0,0,2
DUOMO,D,U,O,M,O,0,1,1,0,0,2
DUPED,D,U,P,E,D,0,1,0,1,1,3
DUPER,D,U,P,E,R,0,1,0,1,0,2
DUPES,D,U,P,E,S,0,1,0,1,1,3
DUPLE,D,U,P,L,E,0,1,0,0,1,2
DUPLY,D,U,P,L,Y,0,1,0,0,1,2
DUPPY,D,U,P,P,Y,0,1,0,0,1,2
DURAL,D,U,R,A,L,0,1,1,1,0,3
DURAS,D,U,R,A,S,0,1,1,1,1,4
DURED,D,U,R,E,D,0,1,1,1,1,4
DURES,D,U,R,E,S,0,1,1,1,1,4
DURGY,D,U,R,G,Y,0,1,1,0,1,3
DURNS,D,U,R,N,S,0,1,1,1,1,4
DUROC,D,U,R,O,C,0,1,1,0,0,2
DUROS,D,U,R,O,S,0,1,1,0,1,3
DUROY,D,U,R,O,Y,0,1,1,0,1,3
DURRA,D,U,R,R,A,0,1,1,0,1,3
DURRS,D,U,R,R,S,0,1,1,0,1,3
DURRY,D,U,R,R,Y,0,1,1,0,1,3
DURST,D,U,R,S,T,0,1,1,0,0,2
DURUM,D,U,R,U,M,0,1,1,0,0,2
DURZI,D,U,R,Z,I,0,1,1,0,0,2
DUSKS,D,U,S,K,S,0,1,0,0,1,2
DUSTS,D,U,S,T,S,0,1,0,1,1,3
DUXES,D,U,X,E,S,0,1,0,1,1,3
DWAAL,D,W,A,A,L,0,0,1,1,0,2
DWALE,D,W,A,L,E,0,0,1,0,1,2
DWALM,D,W,A,L,M,0,0,1,0,0,1
DWAMS,D,W,A,M,S,0,0,1,0,1,2
DWAMY,D,W,A,M,Y,0,0,1,0,1,2
DWANG,D,W,A,N,G,0,0,1,1,0,2
DWAUM,D,W,A,U,M,0,0,1,0,0,1
DWEEB,D,W,E,E,B,0,0,0,1,0,1
DWILE,D,W,I,L,E,0,0,1,0,1,2
DWINE,D,W,I,N,E,0,0,1,1,1,3
DYADS,D,Y,A,D,S,0,0,1,0,1,2
DYERS,D,Y,E,R,S,0,0,0,0,1,1
DYKED,D,Y,K,E,D,0,0,0,1,1,2
DYKES,D,Y,K,E,S,0,0,0,1,1,2
DYKEY,D,Y,K,E,Y,0,0,0,1,1,2
DYKON,D,Y,K,O,N,0,0,0,0,0,0
DYNEL,D,Y,N,E,L,0,0,1,1,0,2
DYNES,D,Y,N,E,S,0,0,1,1,1,3
DYNOS,D,Y,N,O,S,0,0,1,0,1,2
DZHOS,D,Z,H,O,S,0,0,0,0,1,1
EAGLY,E,A,G,L,Y,0,1,0,0,1,2
EAGRE,E,A,G,R,E,0,1,0,0,1,2
EALED,E,A,L,E,D,0,1,0,1,1,3
EALES,E,A,L,E,S,0,1,0,1,1,3
EANED,E,A,N,E,D,0,1,1,1,1,4
EARDS,E,A,R,D,S,0,1,1,0,1,3
EARED,E,A,R,E,D,0,1,1,1,1,4
EARLS,E,A,R,L,S,0,1,1,0,1,3
EARNS,E,A,R,N,S,0,1,1,1,1,4
EARNT,E,A,R,N,T,0,1,1,1,0,3
EARST,E,A,R,S,T,0,1,1,0,0,2
EASED,E,A,S,E,D,0,1,0,1,1,3
EASER,E,A,S,E,R,0,1,0,1,0,2
EASES,E,A,S,E,S,0,1,0,1,1,3
EASLE,E,A,S,L,E,0,1,0,0,1,2
EASTS,E,A,S,T,S,0,1,0,1,1,3
EATHE,E,A,T,H,E,0,1,0,0,1,2
EATIN,E,A,T,I,N,0,1,0,1,0,2
EAVED,E,A,V,E,D,0,1,0,1,1,3
EAVER,E,A,V,E,R,0,1,0,1,0,2
EAVES,E,A,V,E,S,0,1,0,1,1,3
EBANK,E,B,A,N,K,0,0,1,1,0,2
EBBED,E,B,B,E,D,0,0,0,1,1,2
EBBET,E,B,B,E,T,0,0,0,1,0,1
EBENA,E,B,E,N,A,0,0,0,1,1,2
EBENE,E,B,E,N,E,0,0,0,1,1,2
EBIKE,E,B,I,K,E,0,0,1,0,1,2
EBONS,E,B,O,N,S,0,0,1,1,1,3
EBOOK,E,B,O,O,K,0,0,1,0,0,1
ECADS,E,C,A,D,S,0,0,1,0,1,2
ECARD,E,C,A,R,D,0,0,1,0,1,2
ECASH,E,C,A,S,H,0,0,1,0,0,1
ECHED,E,C,H,E,D,0,0,0,1,1,2
ECHES,E,C,H,E,S,0,0,0,1,1,2
ECHOS,E,C,H,O,S,0,0,0,0,1,1
ECIGS,E,C,I,G,S,0,0,1,0,1,2
ECOLE,E,C,O,L,E,0,0,1,0,1,2
ECRUS,E,C,R,U,S,0,0,1,0,1,2
EDEMA,E,D,E,M,A,0,0,0,0,1,1
EDGED,E,D,G,E,D,0,0,0,1,1,2
EDGER,E,D,G,E,R,0,0,0,1,0,1
EDGES,E,D,G,E,S,0,0,0,1,1,2
EDILE,E,D,I,L,E,0,0,1,0,1,2
EDITS,E,D,I,T,S,0,0,1,1,1,3
EDUCE,E,D,U,C,E,0,0,0,0,1,1
EDUCT,E,D,U,C,T,0,0,0,0,0,0
EEJIT,E,E,J,I,T,0,1,0,1,0,2
EENSY,E,E,N,S,Y,0,1,1,0,1,3
EEVEN,E,E,V,E,N,0,1,0,1,0,2
EEVER,E,E,V,E,R,0,1,0,1,0,2
EEVNS,E,E,V,N,S,0,1,0,1,1,3
EFFED,E,F,F,E,D,0,0,0,1,1,2
EFFER,E,F,F,E,R,0,0,0,1,0,1
EFITS,E,F,I,T,S,0,0,1,1,1,3
EGADS,E,G,A,D,S,0,0,1,0,1,2
EGERS,E,G,E,R,S,0,0,0,0,1,1
EGEST,E,G,E,S,T,0,0,0,0,0,0
EGGAR,E,G,G,A,R,0,0,0,1,0,1
EGGED,E,G,G,E,D,0,0,0,1,1,2
EGGER,E,G,G,E,R,0,0,0,1,0,1
EGMAS,E,G,M,A,S,0,0,0,1,1,2
EHING,E,H,I,N,G,0,0,1,1,0,2
EIDER,E,I,D,E,R,0,1,0,1,0,2
EIDOS,E,I,D,O,S,0,1,0,0,1,2
EIGNE,E,I,G,N,E,0,1,0,1,1,3
EIKED,E,I,K,E,D,0,1,0,1,1,3
EIKON,E,I,K,O,N,0,1,0,0,0,1
EILDS,E,I,L,D,S,0,1,0,0,1,2
EIRON,E,I,R,O,N,0,1,1,0,0,2
EISEL,E,I,S,E,L,0,1,0,1,0,2
EJIDO,E,J,I,D,O,0,0,1,0,0,1
EKDAM,E,K,D,A,M,0,0,0,1,0,1
EKKAS,E,K,K,A,S,0,0,0,1,1,2
ELAIN,E,L,A,I,N,0,0,1,1,0,2
ELAND,E,L,A,N,D,0,0,1,1,1,3
ELANS,E,L,A,N,S,0,0,1,1,1,3
ELCHI,E,L,C,H,I,0,0,0,0,0,0
ELDIN,E,L,D,I,N,0,0,0,1,0,1
ELEET,E,L,E,E,T,0,0,0,1,0,1
ELEMI,E,L,E,M,I,0,0,0,0,0,0
ELFED,E,L,F,E,D,0,0,0,1,1,2
ELIAD,E,L,I,A,D,0,0,1,1,1,3
ELINT,E,L,I,N,T,0,0,1,1,0,2
ELMEN,E,L,M,E,N,0,0,0,1,0,1
ELOGE,E,L,O,G,E,0,0,1,0,1,2
ELOGY,E,L,O,G,Y,0,0,1,0,1,2
ELOIN,E,L,O,I,N,0,0,1,1,0,2
ELOPS,E,L,O,P,S,0,0,1,0,1,2
ELPEE,E,L,P,E,E,0,0,0,1,1,2
ELSIN,E,L,S,I,N,0,0,0,1,0,1
ELUTE,E,L,U,T,E,0,0,0,1,1,2
ELVAN,E,L,V,A,N,0,0,0,1,0,1
ELVEN,E,L,V,E,N,0,0,0,1,0,1
ELVER,E,L,V,E,R,0,0,0,1,0,1
ELVES,E,L,V,E,S,0,0,0,1,1,2
EMACS,E,M,A,C,S,0,0,1,0,1,2
EMBAR,E,M,B,A,R,0,0,0,1,0,1
EMBAY,E,M,B,A,Y,0,0,0,1,1,2
EMBOG,E,M,B,O,G,0,0,0,0,0,0
EMBOW,E,M,B,O,W,0,0,0,0,0,0
EMBOX,E,M,B,O,X,0,0,0,0,0,0
EMBUS,E,M,B,U,S,0,0,0,0,1,1
EMEER,E,M,E,E,R,0,0,0,1,0,1
EMEND,E,M,E,N,D,0,0,0,1,1,2
EMERG,E,M,E,R,G,0,0,0,0,0,0
EMERY,E,M,E,R,Y,0,0,0,0,1,1
EMEUS,E,M,E,U,S,0,0,0,0,1,1
EMICS,E,M,I,C,S,0,0,1,0,1,2
EMIRS,E,M,I,R,S,0,0,1,0,1,2
EMITS,E,M,I,T,S,0,0,1,1,1,3
EMMAS,E,M,M,A,S,0,0,0,1,1,2
EMMER,E,M,M,E,R,0,0,0,1,0,1
EMMET,E,M,M,E,T,0,0,0,1,0,1
EMMEW,E,M,M,E,W,0,0,0,1,0,1
EMMYS,E,M,M,Y,S,0,0,0,0,1,1
EMOJI,E,M,O,J,I,0,0,1,0,0,1
EMONG,E,M,O,N,G,0,0,1,1,0,2
EMOTE,E,M,O,T,E,0,0,1,1,1,3
EMOVE,E,M,O,V,E,0,0,1,0,1,2
EMPTS,E,M,P,T,S,0,0,0,1,1,2
EMULE,E,M,U,L,E,0,0,0,0,1,1
EMURE,E,M,U,R,E,0,0,0,0,1,1
EMYDE,E,M,Y,D,E,0,0,0,0,1,1
EMYDS,E,M,Y,D,S,0,0,0,0,1,1
ENARM,E,N,A,R,M,0,0,1,0,0,1
ENATE,E,N,A,T,E,0,0,1,1,1,3
ENDED,E,N,D,E,D,0,0,0,1,1,2
ENDER,E,N,D,E,R,0,0,0,1,0,1
ENDEW,E,N,D,E,W,0,0,0,1,0,1
ENDUE,E,N,D,U,E,0,0,0,0,1,1
ENEWS,E,N,E,W,S,0,0,0,0,1,1
ENFIX,E,N,F,I,X,0,0,0,1,0,1
ENIAC,E,N,I,A,C,0,0,1,1,0,2
ENLIT,E,N,L,I,T,0,0,0,1,0,1
ENMEW,E,N,M,E,W,0,0,0,1,0,1
ENNOG,E,N,N,O,G,0,0,1,0,0,1
ENOKI,E,N,O,K,I,0,0,1,0,0,1
ENOLS,E,N,O,L,S,0,0,1,0,1,2
ENORM,E,N,O,R,M,0,0,1,0,0,1
ENOWS,E,N,O,W,S,0,0,1,0,1,2
ENROL,E,N,R,O,L,0,0,1,0,0,1
ENSEW,E,N,S,E,W,0,0,0,1,0,1
ENSKY,E,N,S,K,Y,0,0,0,0,1,1
ENTIA,E,N,T,I,A,0,0,0,1,1,2
ENTRE,E,N,T,R,E,0,0,0,0,1,1
ENURE,E,N,U,R,E,0,0,0,0,1,1
ENURN,E,N,U,R,N,0,0,0,0,0,0
ENVOI,E,N,V,O,I,0,0,0,0,0,0
ENZYM,E,N,Z,Y,M,0,0,0,0,0,0
EOLID,E,O,L,I,D,0,1,0,1,1,3
EORLS,E,O,R,L,S,0,1,1,0,1,3
EOSIN,E,O,S,I,N,0,1,0,1,0,2
EPACT,E,P,A,C,T,0,0,1,0,0,1
EPEES,E,P,E,E,S,0,0,0,1,1,2
EPENA,E,P,E,N,A,0,0,0,1,1,2
EPENE,E,P,E,N,E,0,0,0,1,1,2
EPHAH,E,P,H,A,H,0,0,0,1,0,1
EPHAS,E,P,H,A,S,0,0,0,1,1,2
EPHOD,E,P,H,O,D,0,0,0,0,1,1
EPHOR,E,P,H,O,R,0,0,0,0,0,0
EPICS,E,P,I,C,S,0,0,1,0,1,2
EPODE,E,P,O,D,E,0,0,1,0,1,2
EPOPT,E,P,O,P,T,0,0,1,0,0,1
EPPIE,E,P,P,I,E,0,0,0,1,1,2
EPRIS,E,P,R,I,S,0,0,1,1,1,3
EQUES,E,Q,U,E,S,0,0,0,1,1,2
EQUID,E,Q,U,I,D,0,0,0,1,1,2
ERBIA,E,R,B,I,A,0,0,0,1,1,2
EREVS,E,R,E,V,S,0,0,0,0,1,1
ERGON,E,R,G,O,N,0,0,0,0,0,0
ERGOS,E,R,G,O,S,0,0,0,0,1,1
ERGOT,E,R,G,O,T,0,0,0,0,0,0
ERHUS,E,R,H,U,S,0,0,0,0,1,1
ERICA,E,R,I,C,A,0,0,1,0,1,2
ERICK,E,R,I,C,K,0,0,1,0,0,1
ERICS,E,R,I,C,S,0,0,1,0,1,2
ERING,E,R,I,N,G,0,0,1,1,0,2
ERNED,E,R,N,E,D,0,0,1,1,1,3
ERNES,E,R,N,E,S,0,0,1,1,1,3
EROSE,E,R,O,S,E,0,0,1,0,1,2
ERRED,E,R,R,E,D,0,0,1,1,1,3
ERSES,E,R,S,E,S,0,0,0,1,1,2
ERUCT,E,R,U,C,T,0,0,0,0,0,0
ERUGO,E,R,U,G,O,0,0,0,0,0,0
ERUVS,E,R,U,V,S,0,0,0,0,1,1
ERVEN,E,R,V,E,N,0,0,0,1,0,1
ERVIL,E,R,V,I,L,0,0,0,1,0,1
ESCAR,E,S,C,A,R,0,0,0,1,0,1
ESCOT,E,S,C,O,T,0,0,0,0,0,0
ESILE,E,S,I,L,E,0,0,1,0,1,2
ESKAR,E,S,K,A,R,0,0,0,1,0,1
ESKER,E,S,K,E,R,0,0,0,1,0,1
ESNES,E,S,N,E,S,0,0,1,1,1,3
ESROG,E,S,R,O,G,0,0,1,0,0,1
ESSES,E,S,S,E,S,0,0,0,1,1,2
ESTOC,E,S,T,O,C,0,0,0,0,0,0
ESTOP,E,S,T,O,P,0,0,0,0,0,0
ESTRO,E,S,T,R,O,0,0,0,0,0,0
ETAGE,E,T,A,G,E,0,0,1,0,1,2
ETAPE,E,T,A,P,E,0,0,1,0,1,2
ETATS,E,T,A,T,S,0,0,1,1,1,3
ETENS,E,T,E,N,S,0,0,0,1,1,2
ETHAL,E,T,H,A,L,0,0,0,1,0,1
ETHNE,E,T,H,N,E,0,0,0,1,1,2
ETHYL,E,T,H,Y,L,0,0,0,0,0,0
ETICS,E,T,I,C,S,0,0,1,0,1,2
ETNAS,E,T,N,A,S,0,0,1,1,1,3
ETROG,E,T,R,O,G,0,0,1,0,0,1
ETTIN,E,T,T,I,N,0,0,0,1,0,1
ETTLE,E,T,T,L,E,0,0,0,0,1,1
ETUIS,E,T,U,I,S,0,0,0,1,1,2
ETWEE,E,T,W,E,E,0,0,0,1,1,2
ETYMA,E,T,Y,M,A,0,0,0,0,1,1
EUGHS,E,U,G,H,S,0,1,0,0,1,2
EUKED,E,U,K,E,D,0,1,0,1,1,3
EUPAD,E,U,P,A,D,0,1,0,1,1,3
EUROS,E,U,R,O,S,0,1,1,0,1,3
EUSOL,E,U,S,O,L,0,1,0,0,0,1
EVEGS,E,V,E,G,S,0,0,0,0,1,1
EVENS,E,V,E,N,S,0,0,0,1,1,2
EVERT,E,V,E,R,T,0,0,0,0,0,0
EVETS,E,V,E,T,S,0,0,0,1,1,2
EVHOE,E,V,H,O,E,0,0,0,0,1,1
EVILS,E,V,I,L,S,0,0,1,0,1,2
EVITE,E,V,I,T,E,0,0,1,1,1,3
EVOHE,E,V,O,H,E,0,0,1,0,1,2
EWERS,E,W,E,R,S,0,0,0,0,1,1
EWEST,E,W,E,S,T,0,0,0,0,0,0
EWHOW,E,W,H,O,W,0,0,0,0,0,0
EWKED,E,W,K,E,D,0,0,0,1,1,2
EXAMS,E,X,A,M,S,0,0,1,0,1,2
EXEAT,E,X,E,A,T,0,0,0,1,0,1
EXECS,E,X,E,C,S,0,0,0,0,1,1
EXEEM,E,X,E,E,M,0,0,0,1,0,1
EXEME,E,X,E,M,E,0,0,0,0,1,1
EXFIL,E,X,F,I,L,0,0,0,1,0,1
EXIER,E,X,I,E,R,0,0,1,1,0,2
